"BILL NO","BILL DATE",COMPANY,"ITEM CODE","ITEM NAME",PACKING,"BATCH NO","EXP DT",QTY,FREE,PTR,MRP,AMOUNT,SCH.DIS%,DISCOUNT,"DIS AMT","TAXABLE AMT","GST %","GST AMT",VALUE,"NET AMOUNT",HSNCODE
LPH/2627/123453,06-06-2026,"BLU CROSS LABORATORIES PVT LTD",L31303405,"P PPI 40MG 15S",10,ZDZ2602,31-12-2027,1,0,46.42,60.93,46.42,0,0,1.39,45.03,5,2.26,47.29,7535,30049039
LPH/2627/123453,06-06-2026,"BLU CROSS LABORATORIES PVT LTD",L31303405,"P PPI 40MG 15S",10,ZDZ2602,31-12-2027,4,0,46.42,60.93,185.68,0,0,5.57,180.11,5,9,189.11,7535,30049039
LPH/2627/123453,06-06-2026,"LA RENON HEALTHCARE PVT LTD (M",L25246549,"PBREN NT  15S",10,ADQ07BCA,30-11-2027,1,0,307.14,403.12,307.14,0,0,9.21,297.93,5,14.9,312.83,7535,30049099
LPH/2627/123453,06-06-2026,"LA RENON HEALTHCARE PVT LTD (M",L25246549,"PBREN NT  15S",10,ADQ07BCA,30-11-2027,1,0,307.14,403.12,307.14,0,0,9.21,297.93,5,14.9,312.83,7535,30049099
LPH/2627/123453,06-06-2026,"IPCA LABORATORIES LTD",L15249373,"RAPILIF D 8/0.5 15S",10,BGM03ACB,31-12-2027,3,0,544,714,1632,0,0,48.96,1583.04,5,79.16,1662.2,7535,30049099
LPH/2627/123453,06-06-2026,"UNIVERSAL NUTRISCIENCE P LTD",L35248437,"SEACOD  3 X 10S(BOX)",0,SCN26007GJ,28-02-2028,1,0,125.7,165,125.7,0,0,3.77,121.93,5,6.1,128.03,7535,21069099
LPH/2627/123453,06-06-2026,"HARVEY LABORATORIES (UNITED)",L21352144,"SEPTID D  10S",10,SDD2503,30-09-2027,1,0,82.9,108.8,82.9,0,0,2.49,80.41,5,4.02,84.43,7535,30049099
LPH/2627/123453,06-06-2026,"TORRENT PHARMACEUTICALS LTD",L30011761,"SHELCAL HD  15 S",10,2MB5N044,28-02-2028,2,0,130.21,170.9,260.42,0,0,7.81,252.61,5,12.64,265.25,7535,30045039
LPH/2627/123453,06-06-2026,"GLAXO SMITHKLINE PHARMA LTD",L20070148,"T BACT OINT  5G",10/560,VR3N,28-02-2027,1,0,82.56,108.36,82.56,0,0,2.48,80.08,5,4,84.08,7535,30042099
LPH/2627/123453,06-06-2026,"ARISTO PHARMACEUTICALS",L15236723,"TELVAS 40 15S",10,SPA260123,31-12-2027,1,0,72.07,94.59,72.07,0,0,2.16,69.91,5,3.5,73.41,7535,30049079
LPH/2627/123453,06-06-2026,"AKESISS PHARMA",L10250085,"TELWAVE 40 10S",10,TW22602,31-03-2028,3,0,55.2,69,165.6,0,0,4.97,160.63,5,8.04,168.67,7535,30049099
LPH/2627/123453,06-06-2026,"MACLEODS PHARMACEUTICALS LTD",L21354188,"THYROX 100  120S",25/200,H25MAD001,30-11-2027,1,0,128.63,168.83,128.63,0,0,3.86,124.77,5,6.24,131.01,7535,30049099
LPH/2627/123453,06-06-2026,"AKESISS PHARMA",L15237319,"VILDANA D 100/10 10S",10,MT253679C,31-10-2027,1,0,135,177.19,135,0,0,4.05,130.95,5,6.54,137.49,7535,30049099
LPH/2627/123453,06-06-2026,"IPCA LABORATORIES LTD",L15237858,"ZERODOL P (100/325MG)10S",10,KVB0625076AS,01-05-2027,1,0,54.99,72.19,54.99,0,0,1.65,53.34,5,2.66,56,7535,30049069
LPH/2627/123453,06-06-2026,"IPCA LABORATORIES LTD",L15237858,"ZERODOL P (100/325MG)10S",10,KVB0325076AS,31-05-2027,1,0,54.99,72.19,54.99,0,0,1.65,53.34,5,2.66,56,7535,30049069
LPH/2627/123453,06-06-2026,"INTAS PHARMACEUTICALS LTD",L35241465,"BRIVAZEN 50  15S",10,26S2GTA268,31-12-2027,1,0,227.86,299.06,227.86,0,0,6.84,221.02,5,11.06,232.08,7535,30049082
